link,title,number of internal links,number of external links,number of times url was referenced by other pages
https://www.youtube.com/about/,Informacje,7,0,0
https://www.youtube.com/about/press/,Centrum prasowe,0,0,0
https://www.youtube.com/about/copyright/,Prawa autorskie,0,0,0
https://www.youtube.com/creators/,Twórcy,0,0,0
https://www.youtube.com/ads/,Reklamy,0,0,0
https://developers.google.com/youtube,Deweloperzy,0,0,0
https://www.youtube.com/about/policies/,Zasady i bezpieczeństwo,0,0,0
https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen,Jak działa YouTube,0,0,0
https://research.youtube,None,39,0,1
https://support.google.com/youtube/answer/3376882?hl=pl,BibliotekÄ audio YouTube,0,0,1
https://support.google.com/youtube/answer/9783148?hl=pl,None,0,0,1
https://www.youtube.com/copyright_complaint_form,formularza internetowego zgodnego zÂ ustawÄ DMCA (Digital Millennium Copyright Act),0,0,1
https://support.google.com/youtube/answer/7648743,Copyright Match Tool,0,0,1
https://support.google.com/youtube/answer/2797370,ContentÂ ID,0,0,1
https://support.google.com/youtube/answer/9245819?hl=pl&ref_topic=9282364,None,0,0,1
https://support.google.com/youtube/answer/2814000?hl=pl&p=c_strike_basics,None,0,0,1
https://support.google.com/youtube/answer/6013276,Content ID,0,0,1
https://support.google.com/youtube/answer/2807691?hl=pl,None,0,0,1
https://support.google.com/youtube/answer/2807684?hl=pl,None,0,0,1
https://twitter.com/YouTube,None,0,0,1
https://www.instagram.com/youtube/,None,0,0,1
https://www.facebook.com/youtube/?ref=br_r,None,0,0,1
https://blog.youtube/,"
                    Blog
                  ",0,0,1
https://www.youtube.com/howyoutubeworks/,"
                    Jak dziaÅa YouTube
                  ",0,0,1
https://www.youtube.com/jobs/,"
                    Praca
                  ",0,0,1
https://blog.youtube/press/,"
                    Prasa
                  ",0,0,1
https://www.youtube.com/trends/,"
                    YouTube Culture & Trends
                  ",0,0,1
https://www.youtube.com/kids/,"
                    YouTube Kids
                  ",0,0,1
https://www.youtube.com/musicpremium,"
                    YouTube Music
                  ",0,0,1
https://www.youtube.com/channel/UCqVDpXKLmKeBU_yyt_QkItQ,"
                    YouTube Originals
                  ",0,0,1
https://www.youtube.com/premium/,"
                    YouTube Premium
                  ",0,0,1
https://www.youtube.com/ads/youtube-select/,"
                    YouTube Select
                  ",0,0,1
https://studio.youtube.com/,"
                    YouTube Studio
                  ",0,0,1
https://tv.youtube.com/,"
                    YouTube TV
                  ",0,0,1
https://www.youtube.com/yt/family/,"
                    Tworzenie treÅci do YouTube Kids
                  ",0,0,1
https://www.youtube.com/creatorresearch/,"
                    Badania dla twÃ³rcÃ³w
                  ",0,0,1
https://servicesdirectory.withyoutube.com/,"
                    Katalog usÅug dla twÃ³rcÃ³w
                  ",0,0,1
https://artists.youtube.com/,"
                    YouTube dla wykonawcÃ³w
                  ",0,0,1
https://www.youtube.com/nextup/,"
                    YouTube NextUp
                  ",0,0,1
https://vr.youtube.com/,"
                    YouTube VR
                  ",0,0,1
https://www.youtube.com/creators-for-change/,"
                    Creators for Change
                  ",0,0,1
https://www.youtube.com/csai-match/,"
                    CSAI Match
                  ",0,0,1
https://socialimpact.youtube.com/,"
                    Social Impact
                  ",0,0,1
https://www.youtube.com,None,0,0,1
https://www.youtube.com/about/brand-resources/,"
            Marka YouTube
          ",0,0,1
https://www.google.com/policies/privacy/,"
            PrywatnoÅÄ
          ",0,0,1
https://www.youtube.com/t/terms,"
            Warunki
          ",0,0,1
https://support.google.com/youtube/#topic=9257498,None,0,0,1
https://www.youtube.com/creators/podcasting-on-youtube/,here.,16,0,2
https://support.google.com/youtube/thread/175575648,Tell me all the details,0,0,2
https://support.google.com/youtube/answer/10343433,upload a YouTube Short,0,0,2
https://support.google.com/youtube/answer/72431,thumbnail,0,0,2
https://support.google.com/youtube/answer/57792,playlists,0,0,2
https://support.google.com/youtube/answer/6140493,cards,0,0,2
https://support.google.com/youtube/answer/6388789,end screens,0,0,2
https://support.google.com/youtube/answer/2972003,profile picture,0,0,2
https://support.google.com/youtube/answer/2657964,Read more about managing your channel,0,0,2
https://support.google.com/youtube/answer/141808,Read more about promoting your videos,0,0,2
https://support.google.com/youtube/answer/141805,recommend videos,0,0,2
https://www.youtube.com/channel/UCkRfArvrzheW2E7b6SVT7vQ,YouTube Creators Channel,0,0,2
https://support.google.com/youtube,Help Center,0,0,2
https://support.google.com/youtube/community,Community Forum,0,0,2
https://twitter.com/YouTubeCreators,@YouTubeCreators,0,0,2
https://twitter.com/TeamYouTube,@TeamYouTube,0,0,2
https://support.google.com/youtube/answer/7123737,YouTube Emails,0,0,2
https://ads.google.com/nav/selectaccount?sf=video_youtube_express&sourceid=awo&hl=pl,"
    Zacznij teraz
  ",0,0,3
